player,position,team,value
Jonathan Taylor,RB,IND,61
Christian McCaffrey,RB,SF,59
Cooper Kupp,WR,LAR,59
Austin Ekeler,RB,LAC,58
Justin Jefferson,WR,MIN,55
Ja'Marr Chase,WR,CIN,54
Derrick Henry,RB,TEN,52
Najee Harris,RB,PIT,50
Dalvin Cook,RB,MIN,49
Alvin Kamara,RB,NO,46
Davante Adams,WR,LV,45
Deebo Samuel,WR,SF,44
Stefon Diggs,WR,BUF,44
Joe Mixon,RB,CIN,43
D'Andre Swift,RB,DET,42
CeeDee Lamb,WR,DAL,40
Tyreek Hill,WR,MIA,38
Leonard Fournette,RB,TB,37
Mark Andrews,TE,BAL,36
Javonte Williams,RB,DEN,35
Travis Kelce,TE,KC,34
James Conner,RB,ARI,33
Aaron Jones,RB,GB,32
Keenan Allen,WR,LAC,32
Tee Higgins,WR,CIN,31
Mike Evans,WR,TB,30
DJ Moore,WR,CAR,30
Saquon Barkley,RB,NYG,29
Cam Akers,RB,LAR,28
Michael Pittman Jr.,WR,IND,26
A.J. Brown,WR,PHI,26
Terry McLaurin,WR,WAS,25
Nick Chubb,RB,CLE,24
Diontae Johnson,WR,PIT,23
Jaylen Waddle,WR,MIA,22
Mike Williams,WR,LAC,22
Brandin Cooks,WR,HOU,22
Kyle Pitts,TE,ATL,21
David Montgomery,RB,CHI,21
Ezekiel Elliott,RB,DAL,20
Travis Etienne Jr.,RB,JAX,19
Breece Hall,RB,NYJ,19
Josh Allen,QB,BUF,18
Marquise Brown,WR,ARI,17
DK Metcalf,WR,SEA,17
Jerry Jeudy,WR,DEN,15
Courtland Sutton,WR,DEN,15
J.K. Dobbins,RB,BAL,14
Chris Godwin,WR,TB,13
Amon-Ra St. Brown,WR,DET,13
Darnell Mooney,WR,CHI,12
Gabe Davis,WR,BUF,11
Patrick Mahomes,QB,KC,11
Justin Herbert,QB,LAC,10
Josh Jacobs,RB,LV,10
Elijah Mitchell,RB,SF,10
Clyde Edwards-Helaire,RB,KC,10
Devin Singletary,RB,BUF,9
Miles Sanders,RB,PHI,9
Darren Waller,TE,LV,9
George Kittle,TE,SF,8
Lamar Jackson,QB,BAL,8
Kyler Murray,QB,ARI,8
Amari Cooper,WR,CLE,7
Michael Thomas,WR,NO,7
Allen Robinson II,WR,LAR,7
Christian Kirk,WR,JAX,7
Hunter Renfrow,WR,LV,6
JuJu Smith-Schuster,WR,KC,6
Adam Thielen,WR,MIN,6
Rashod Bateman,WR,BAL,6
Drake London,WR,ATL,6
Elijah Moore,WR,NYJ,6
Tyler Lockett,WR,SEA,5
DeVonta Smith,WR,PHI,5
Jalen Hurts,QB,PHI,5
Dalton Schultz,TE,DAL,5
T.J. Hockenson,TE,MIN,4
Dameon Pierce,RB,HOU,4
Kareem Hunt,RB,CLE,4
Rhamondre Stevenson,RB,NE,4
Damien Harris,RB,NE,4
Chase Edmonds,RB,DEN,4
Antonio Gibson,RB,WAS,4
Cordarrelle Patterson,RB,ATL,4
Tony Pollard,RB,DAL,4
Dallas Goedert,TE,PHI,3
Zach Ertz,TE,ARI,3
Dak Prescott,QB,DAL,3
Tom Brady,QB,TB,3
Aaron Rodgers,QB,GB,3
Russell Wilson,QB,DEN,3
Joe Burrow,QB,CIN,3
Matthew Stafford,QB,LAR,3
Kadarius Toney,WR,KC,3
Brandon Aiyuk,WR,SF,2
Allen Lazard,WR,GB,2
Robert Woods,WR,TEN,2
DeAndre Hopkins,WR,ARI,2
Garrett Wilson,WR,NYJ,2
Chris Olave,WR,NO,2
Chase Claypool,WR,CHI,2
Trey Lance,QB,SF,2
AJ Dillon,RB,GB,2
Rashaad Penny,RB,SEA,2
James Robinson,RB,NYJ,2
Michael Carter,RB,NYJ,2
Melvin Gordon III,RB,FA,2
Pat Freiermuth,TE,PIT,2
Cole Kmet,TE,CHI,2
Jakobi Meyers,WR,NE,2
Russell Gage,WR,TB,2
Marquez Valdes-Scantling,WR,KC,2
Tyler Boyd,WR,CIN,2
DJ Chark,WR,DET,2
Michael Gallup,WR,DAL,2
Skyy Moore,WR,KC,2
Nyheim Hines,RB,BUF,2
Kenneth Walker III,RB,SEA,2
James Cook,RB,BUF,2
Raheem Mostert,RB,MIA,1
Derek Carr,QB,LV,1
Kirk Cousins,QB,MIN,1
Dawson Knox,TE,BUF,1
Hunter Henry,TE,NE,1
Mike Gesicki,TE,MIA,1
Trevor Lawrence,QB,JAX,1
Tua Tagovailoa,QB,MIA,1
Justin Fields,QB,CHI,1
Treylon Burks,WR,TEN,1
Jahan Dotson,WR,WAS,1
Jarvis Landry,WR,NO,1
Joshua Palmer,WR,LAC,1
Robbie Anderson,WR,ARI,1
Marvin Jones Jr.,WR,JAX,1
DeVante Parker,WR,NE,1
Noah Fant,TE,SEA,1
Irv Smith Jr.,TE,MIN,1
David Njoku,TE,CLE,1
Tyler Higbee,TE,LAR,1
Bills D/ST,DST,BUF,1
Packers D/ST,DST,GB,1
Saints D/ST,DST,NO,1
Buccaneers D/ST,DST,TB,1
Ravens D/ST,DST,BAL,1
49ers D/ST,DST,SF,1
Cowboys D/ST,DST,DAL,1
Colts D/ST,DST,IND,1
Steelers D/ST,DST,PIT,1
Dolphins D/ST,DST,MIA,1
Justin Tucker,K,BAL,1
Evan McPherson,K,CIN,1
Matt Gay,K,LAR,1
Harrison Butker,K,KC,1
Daniel Carlson,K,LV,1
Brandon McManus,K,DEN,1
Nick Folk,K,NE,1
Tyler Bass,K,BUF,1
Matt Prater,K,ARI,1
Graham Gano,K,NYG,1
Brian Robinson Jr.,RB,WAS,0
J.D. McKissic,RB,WAS,0
Kenneth Gainwell,RB,PHI,0
Darrell Henderson Jr.,RB,JAX,0
Alexander Mattison,RB,MIN,0
Jamaal Williams,RB,DET,0
Khalil Herbert,RB,CHI,0
Rex Burkhead,RB,HOU,0
Tyler Allgeier,RB,ATL,0
Jerick McKinnon,RB,KC,0
Kenny Golladay,WR,NYG,0
Jalen Tolbert,WR,DAL,0
George Pickens,WR,PIT,0
Rondale Moore,WR,ARI,0
Nico Collins,WR,HOU,0
Wan'Dale Robinson,WR,NYG,0
Julio Jones,WR,TB,0
Alec Pierce,WR,IND,0
Mecole Hardman,WR,KC,0
Van Jefferson,WR,LAR,0
Isaiah McKenzie,WR,BUF,0
Jamison Crowder,WR,BUF,0
Jameson Williams,WR,DET,0
Evan Engram,TE,JAX,0
Austin Hooper,TE,TEN,0
Hayden Hurst,TE,CIN,0
Daniel Jones,QB,NYG,0
Jameis Winston,QB,NO,0
Chargers D/ST,DST,LAC,0
Commanders D/ST,DST,WAS,0
Greg Joseph,K,MIN,0
Jake Elliott,K,PHI,0
Rachaad White,RB,TB,0
Mike Davis,RB,BAL,0
Zamir White,RB,LV,0
Isiah Pacheco,RB,KC,0
Mark Ingram II,RB,NO,0
Damien Williams,RB,ATL,0
Samaje Perine,RB,CIN,0
Dontrell Hilliard,RB,TEN,0
